SERVICE|backup-manager|ver=1.2.113|status=installed|ck=9bfced9ba9abaf0d|ep=(empty)|on_disk=39ea9e5abce6412f|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/backup_manager_server
SERVICE|blog|ver=1.2.113|status=installed|ck=430a0c16ddc43dda|ep=(empty)|on_disk=0028eed5eedd0efe|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/blog_server
SERVICE|catalog|ver=1.2.113|status=installed|ck=6ea3001461f3c396|ep=(empty)|on_disk=425249c5b2f9c11a|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/catalog_server
SERVICE|cluster-controller|ver=1.2.126|status=installed|ck=e29ad06ac556369b|ep=e29ad06ac556369b|on_disk=e29ad06ac556369b|proof=self_hosted_runtime_proo|cls=SELF_HOSTED_PROOF|binp=/usr/lib/globular/bin/cluster_controller_server
SERVICE|cluster-doctor|ver=1.2.118|status=installed|ck=5bf6fe9c34e9b41d|ep=5bf6fe9c34e9b41d|on_disk=5bf6fe9c34e9b41d|proof=self_hosted_runtime_proo|cls=SELF_HOSTED_PROOF|binp=/usr/lib/globular/bin/cluster_doctor_server
SERVICE|conversation|ver=1.2.113|status=installed|ck=(empty)|ep=(empty)|on_disk=b0b6d18166e1f87f|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/conversation_server
SERVICE|dns|ver=1.2.113|status=installed|ck=(empty)|ep=(empty)|on_disk=6ed1f9c85ad27d6f|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/dns_server
SERVICE|echo|ver=1.2.113|status=installed|ck=(empty)|ep=(empty)|on_disk=9b37e4cd7ea37304|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/echo_server
SERVICE|event|ver=1.2.113|status=installed|ck=f735b99059059742|ep=(empty)|on_disk=f735b99059059742|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/event_server
SERVICE|file|ver=1.2.113|status=installed|ck=47c5e8456877d51a|ep=(empty)|on_disk=dbb6a98c694d0033|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/file_server
SERVICE|ldap|ver=1.2.113|status=installed|ck=(empty)|ep=(empty)|on_disk=1f5a86a140b4dd0b|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/ldap_server
SERVICE|log|ver=1.2.113|status=installed|ck=c3f04e60bd84a321|ep=(empty)|on_disk=a1d3f1ba1289b116|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/log_server
SERVICE|mail|ver=1.2.113|status=installed|ck=9793cf1966491ffb|ep=(empty)|on_disk=2325a2cbccf6556e|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/mail_server
SERVICE|mcp|ver=1.2.113|status=installed|ck=35f6febc92824da6|ep=(empty)|on_disk=daff5251f0f92aa5|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/mcp
SERVICE|media|ver=1.2.113|status=installed|ck=315a538cb6be6a9c|ep=(empty)|on_disk=0763d15c745960f2|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/media_server
SERVICE|monitoring|ver=1.2.113|status=installed|ck=259434e49d17c22b|ep=(empty)|on_disk=ceeba6635859223c|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/monitoring_server
SERVICE|node-agent|ver=1.2.120|status=installed|ck=41b2a07536eeef6d|ep=41b2a07536eeef6d|on_disk=41b2a07536eeef6d|proof=self_hosted_runtime_proo|cls=SELF_HOSTED_PROOF|binp=/usr/lib/globular/bin/node_agent_server
SERVICE|persistence|ver=1.2.113|status=installed|ck=f3111f1fd4231730|ep=(empty)|on_disk=e8a41f1028c65b9e|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/persistence_server
SERVICE|rbac|ver=1.2.113|status=installed|ck=474921eca48ac51a|ep=(empty)|on_disk=96f8a02896d712fe|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/rbac_server
SERVICE|repository|ver=1.2.122|status=installed|ck=879e841827e74446|ep=879e841827e74446|on_disk=879e841827e74446|proof=self_hosted_runtime_proo|cls=SELF_HOSTED_PROOF|binp=/usr/lib/globular/bin/repository_server
SERVICE|resource|ver=1.2.113|status=installed|ck=8879fe218786c656|ep=(empty)|on_disk=8fb17c7b62f92ad6|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/resource_server
SERVICE|search|ver=1.2.113|status=installed|ck=14c6fa9553f3cb0e|ep=(empty)|on_disk=5096bd3f0a60a9fe|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/search_server
